kon,koff,t,complex
0.5,0.2,20.0,0.5366757996598305
0.5,0.2,22.0,0.5366736051295452
0.5,0.2,24.0,0.5366770357006032
0.5,0.2,26.0,0.5366786523764688
0.5,0.2,28.0,0.5366710137556202
0.5,0.2,30.0,0.5366861304897104
0.5,0.2,32.0,0.536703010938153
0.5,0.2,34.0,0.5366669186658224
0.5,0.2,36.0,0.5366547370921342
0.5,0.2,38.0,0.5368013241733773
0.5,0.2,40.0,0.5367353407688041
0.5,0.2,42.0,0.5365315214568511
0.5,0.2,44.0,0.5368419675711993
0.5,0.2,46.0,0.5368744246017879
0.5,0.2,48.0,0.5363775761238752
0.5,0.2,50.0,0.5368280508983204
0.5,0.2,52.0,0.53677258400597
0.5,0.2,54.0,0.5364072633857656
0.5,0.2,56.0,0.5368457675167002
0.5,0.2,58.0,0.5365376515454866
0.5,0.2,60.0,0.5365706265126594
0.5,0.25,0.0,0.0
0.5,0.25,2.0,0.41138212104814614
0.5,0.25,4.0,0.48109646099792436
0.5,0.25,6.0,0.4958219141349847
0.5,0.25,8.0,0.4990724083214577
0.5,0.25,10.0,0.4997946833484085
0.5,0.25,12.0,0.4999552736720157
0.5,0.25,14.0,0.4999885348144736
0.5,0.25,16.0,0.49999751466024916
0.5,0.25,18.0,0.5000002470280546
0.5,0.25,20.0,0.49999990222180996
0.5,0.25,22.0,0.5000008857967086
0.5,0.25,24.0,0.5000068934922933
0.5,0.25,26.0,0.49999465679585126
0.5,0.25,28.0,0.5000172156789124
0.5,0.25,30.0,0.5000436851841273
0.5,0.25,32.0,0.4999690755034902
0.5,0.25,34.0,0.5000381671060071
0.5,0.25,36.0,0.5001798071916513
0.5,0.25,38.0,0.4998621561415577
0.5,0.25,40.0,0.5000965140154293
0.5,0.25,42.0,0.5002078685924838
0.5,0.25,44.0,0.4996676711473705
0.5,0.25,46.0,0.5002495867323906
0.5,0.25,48.0,0.49978538961181806
0.5,0.25,50.0,0.5000661949190442
0.5,0.25,52.0,0.49996557802322733
0.5,0.25,54.0,0.4999641825840419
0.5,0.25,56.0,0.5000515450564321
0.5,0.25,58.0,0.49989329141445155
0.5,0.25,60.0,0.49997457976131054
0.5,0.3,0.0,0.0
0.5,0.3,2.0,0.3968144463452152
0.5,0.3,4.0,0.4560371816229801
0.5,0.3,6.0,0.46683081485627204
0.5,0.3,8.0,0.46886102012179537
0.5,0.3,10.0,0.4692456821802145
0.5,0.3,12.0,0.4693207775069641
0.5,0.3,14.0,0.46933560638596944
0.5,0.3,16.0,0.46933539688301185
0.5,0.3,18.0,0.469339579457554
0.5,0.3,20.0,0.4693352092775766
0.5,0.3,22.0,0.4693478354598521
0.5,0.3,24.0,0.469335551843106
0.5,0.3,26.0,0.4693446881776818
0.5,0.3,28.0,0.46940342598390833
0.5,0.3,30.0,0.4692910051516587
0.5,0.3,32.0,0.46943012162135045
0.5,0.3,34.0,0.46948738515518884
0.5,0.3,36.0,0.4691015955180243
0.5,0.3,38.0,0.4696616247095692
0.5,0.3,40.0,0.4690639056997024
0.5,0.3,42.0,0.4695102288099553
0.5,0.3,44.0,0.46917221402158993
0.5,0.3,46.0,0.46941847686817684
0.5,0.3,48.0,0.4692273996110271
0.5,0.3,50.0,0.46940039135323
0.5,0.3,52.0,0.46926073018531167
0.5,0.3,54.0,0.4693939466188454
0.5,0.3,56.0,0.46928876340364095
0.5,0.3,58.0,0.46930742512427176
0.5,0.3,60.0,0.46931531968718443
1.0,0.05,0.0,0.0
1.0,0.05,2.0,0.641698051914138
1.0,0.05,4.0,0.7467534006111513
1.0,0.05,6.0,0.7797699170645664
1.0,0.05,8.0,0.7919882304582013
